net_junctionCornerDetail;net_limitTurnSpeed;net_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;type_disallow;type_id;type_numLanes;type_oneway;type_priority;type_speed;edge_function;edge_id;lane_disallow;lane_id;lane_index;lane_length;lane_shape;lane_speed;edge_from;edge_name;edge_priority;edge_shape;edge_to;edge_type;param_key;param_value;edge_spreadType;tlLogic_id;tlLogic_offset;tlLogic_programID;tlLogic_type;phase_duration;phase_maxDur;phase_minDur;phase_state;junction_id;junction_incLanes;junction_intLanes;junction_shape;junction_type;junction_x;junction_y;request_cont;request_foes;request_index;request_response;connection_dir;connection_from;connection_fromLane;connection_state;connection_to;connection_toLane;connection_via;connection_linkIndex;connection_tl;connection_keepClear
5;5.50;1.20;;;;;;;;;;;internal;:49429413_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429413_1_0;0;0.10;1328.49,764.28 1328.49,764.28;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_0_0;0;9.03;1339.08,706.85 1336.62,707.12 1334.84,708.11 1333.73,709.82 1333.30,712.26;6.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_1_0;0;14.42;1339.08,706.85 1324.67,706.27;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_2;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_2_0;0;11.75;1339.08,706.85 1335.24,706.37 1332.53,705.22 1330.94,703.40 1330.48,700.92;7.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_3;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_3_0;0;11.24;1333.68,701.03 1333.30,712.26;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_4;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_4_0;0;2.53;1333.68,701.03 1333.04,703.48;7.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_5;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_5_0;0;1.44;1333.68,701.03 1332.84,702.20;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_9;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_9_0;0;9.22;1333.04,703.48 1331.33,705.17 1328.54,706.10 1324.67,706.27;7.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_10;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_10_0;0;3.23;1332.84,702.20 1332.02,702.58 1331.24,702.15 1330.48,700.92;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_6;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_6_0;0;9.11;1330.11,712.16 1329.83,709.68 1328.83,707.88 1327.11,706.74 1324.67,706.27;6.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_7;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_7_0;0;11.25;1330.11,712.16 1330.48,700.92;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_8;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_8_0;0;1.44;1330.11,712.16 1330.94,710.99;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429414_11;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429414_11_0;0;3.23;1330.94,710.99 1331.76,710.61 1332.54,711.04 1333.30,712.26;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429417_0;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429417_0_0;0;9.15;1343.02,596.75 1340.53,597.06 1338.72,598.08 1337.60,599.81 1337.16,602.27;6.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429417_1;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429417_1_0;0;14.49;1343.02,596.75 1328.54,596.35;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429417_2;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429417_2_0;0;14.25;1343.02,596.75 1339.16,596.13 1336.45,594.41 1334.87,591.62 1334.44,587.73;7.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429417_3;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429417_3_0;0;4.67;1343.02,596.75 1341.84,595.93 1341.45,595.12 1341.87,594.33 1343.08,593.55;3.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5.50;1.20;;;;;;;;;;;internal;:49429417_4;tram rail_urban rail rail_electric rail_fast ship cable_car subway;:49429417_4_0;0;9.03;1337.64,587.83 1337.91,590.30 1338.91,592.07 1340.63,593.16 1343.08,593.55;6.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
